123,110,107,89,97,49,86,105,99,139,95,79,65,81,53,141
59,87,131,155,104,97,143,147,86,116,118,105,119,125,87,165
174,147,132,67,145,89,147,63,109,84,111,73,91,135,94,61
122,69,100,130,98,113,59,125,127,116,106,148,89,110,85,135
126,123,87,109,109,135,75,89,130,166,84,71,112,181,132,116
141,107,81,113,90,105,98,155,126,136,102,106,44,88,64,63
122,124,81,125,87,95,103,63,98,136,144,121,99,56,89,48
97,100,142,123,99,66,94,106,96,64,93,100,146,68,88,103
97,74,141,103,103,110,83,152,135,81,96,92,115,135,124,49
143,141,118,78,103,85,77,116,118,110,66,111,114,104,128,146
114,79,138,105,96,158,168,41,100,59,111,88,120,135,116,90
137,133,119,127,60,147,89,134,120,141,127,95,57,145,96,122
151,133,127,145,126,109,164,101,130,122,140,67,131,88,145,86
126,120,82,104,135,102,121,143,64,98,40,63,96,115,161,84
94,101,137,136,133,112,114,97,80,90,104,136,120,118,119,64
94,113,80,95,130,76,106,47,147,83,87,144,79,127,100,66
