thisRow.t,notes,trial_type,trial_number,target_index,selected_id,correct,rt,session,generation,trial,participant,session,fullscreen,
,,training,1,1,1,True,27.316585199994734,001,,,234,001,False,
,,training,2,5,1,False,0.00033560002339072526,001,,,234,001,False,
,,training,3,8,1,False,0.00021320002269931138,001,,,234,001,False,
,,training,4,5,5,True,0.7756647000205703,001,,,234,001,False,
,,training,5,0,5,False,0.000763299991376698,001,,,234,001,False,
,,training,6,8,5,False,0.00044329999946057796,001,,,234,001,False,
,,training,7,7,5,False,0.0005308999971020967,001,,,234,001,False,
,,training,8,1,1,True,1.2433482999913394,001,,,234,001,False,
,,training,9,2,1,False,0.00024789999588392675,001,,,234,001,False,
,,training,10,0,1,False,0.00021070000366307795,001,,,234,001,False,
,,,,,0,,7.9249880999850575,001,0,0,234,001,False,
,,,,,0,,0.00857560001895763,001,0,1,234,001,False,
,,,,,0,,0.09236879998934455,001,0,2,234,001,False,
,,,,,0,,0.006783399992855266,001,0,3,234,001,False,
,,,,,0,,0.006263099989155307,001,0,4,234,001,False,
,,,,,0,,0.09005050000268966,001,0,5,234,001,False,
,,,,,0,,0.17391749998205341,001,0,6,234,001,False,
,,,,,0,,0.0049223999958485365,001,0,7,234,001,False,
,,,,,0,,0.09061250000377186,001,0,8,234,001,False,
,,,,,0,,0.013164200005121529,001,0,9,234,001,False,
,,,,,0,,0.00823919998947531,001,0,10,234,001,False,
,,,,,0,,0.007212199998321012,001,0,11,234,001,False,
,,,,,0,,0.01191799997468479,001,1,0,234,001,False,
,,,,,1,,0.09687839998514391,001,1,1,234,001,False,
,,,,,1,,1.1810343000106514,001,1,2,234,001,False,
,,,,,1,,0.013973299995996058,001,1,3,234,001,False,
,,,,,1,,0.015500200010137632,001,1,4,234,001,False,
,,,,,1,,0.013908599998103455,001,1,5,234,001,False,
,,,,,1,,0.02073350001592189,001,1,6,234,001,False,
,,,,,1,,0.01352999999653548,001,1,7,234,001,False,
