thisRow.t,notes,trial_type,trial_number,target_index,selected_id,correct,rt,session,generation,trial,participant,session,fullscreen,
,,,,,0,,0.005629999999655411,001,5,7,gvhjkgvhjk,001,False,
,,,,,0,,0.011429800011683255,001,5,8,gvhjkgvhjk,001,False,
,,,,,0,,0.005914100009249523,001,5,9,gvhjkgvhjk,001,False,
,,,,,0,,0.01133729997673072,001,5,10,gvhjkgvhjk,001,False,
,,,,,0,,0.005789899994852021,001,5,11,gvhjkgvhjk,001,False,
,,,,,0,,0.01280840000254102,001,6,0,gvhjkgvhjk,001,False,
,,,,,0,,0.005571000016061589,001,6,1,gvhjkgvhjk,001,False,
,,,,,0,,0.005933699983870611,001,6,2,gvhjkgvhjk,001,False,
,,,,,0,,0.005922800017287955,001,6,3,gvhjkgvhjk,001,False,
,,,,,0,,0.010964499990222976,001,6,4,gvhjkgvhjk,001,False,
,,,,,0,,0.005952400009846315,001,6,5,gvhjkgvhjk,001,False,
,,,,,0,,0.011962099990341812,001,6,6,gvhjkgvhjk,001,False,
,,,,,0,,0.005968800018308684,001,6,7,gvhjkgvhjk,001,False,
,,,,,0,,0.011136299988720566,001,6,8,gvhjkgvhjk,001,False,
,,,,,0,,0.006028800009516999,001,6,9,gvhjkgvhjk,001,False,
,,,,,0,,0.011069700005464256,001,6,10,gvhjkgvhjk,001,False,
,,,,,0,,0.005727800016757101,001,6,11,gvhjkgvhjk,001,False,
,,,,,0,,0.01077720001921989,001,7,0,gvhjkgvhjk,001,False,
,,,,,0,,0.010563299991190434,001,7,1,gvhjkgvhjk,001,False,
,,,,,0,,0.006192500004544854,001,7,2,gvhjkgvhjk,001,False,
,,,,,0,,0.011863899999298155,001,7,3,gvhjkgvhjk,001,False,
,,,,,0,,0.00970439999946393,001,7,4,gvhjkgvhjk,001,False,
,,,,,0,,0.006667400011792779,001,7,5,gvhjkgvhjk,001,False,
,,,,,0,,0.006071899988455698,001,7,6,gvhjkgvhjk,001,False,
,,,,,0,,0.009394199994858354,001,7,7,gvhjkgvhjk,001,False,
,,,,,0,,0.0055244000104721636,001,7,8,gvhjkgvhjk,001,False,
,,,,,0,,0.011049199994886294,001,7,9,gvhjkgvhjk,001,False,
,,,,,0,,0.006846000003861263,001,7,10,gvhjkgvhjk,001,False,
,,,,,0,,0.011895999981788918,001,7,11,gvhjkgvhjk,001,False,
,,,,,0,,0.010108600021339953,001,8,0,gvhjkgvhjk,001,False,
,,,,,0,,0.0109091000049375,001,8,1,gvhjkgvhjk,001,False,
,,,,,0,,0.009866499982308596,001,8,2,gvhjkgvhjk,001,False,
,,,,,0,,0.011231199983740225,001,8,3,gvhjkgvhjk,001,False,
,,,,,0,,0.0104099000163842,001,8,4,gvhjkgvhjk,001,False,
,,,,,0,,0.010191000008489937,001,8,5,gvhjkgvhjk,001,False,
,,,,,0,,0.010607700009131804,001,8,6,gvhjkgvhjk,001,False,
,,,,,0,,0.010925499984296039,001,8,7,gvhjkgvhjk,001,False,
,,,,,0,,0.00633089998154901,001,8,8,gvhjkgvhjk,001,False,
,,,,,0,,0.010661200009053573,001,8,9,gvhjkgvhjk,001,False,
,,,,,0,,0.010519200004637241,001,8,10,gvhjkgvhjk,001,False,
,,,,,0,,0.010505599988391623,001,8,11,gvhjkgvhjk,001,False,
,,,,,0,,0.010822900017956272,001,9,0,gvhjkgvhjk,001,False,
,,,,,0,,0.010343400004785508,001,9,1,gvhjkgvhjk,001,False,
,,,,,0,,0.006391900009475648,001,9,2,gvhjkgvhjk,001,False,
,,,,,0,,0.01219359997776337,001,9,3,gvhjkgvhjk,001,False,
,,,,,0,,0.005929300008574501,001,9,4,gvhjkgvhjk,001,False,
,,,,,0,,0.012020499998470768,001,9,5,gvhjkgvhjk,001,False,
,,,,,0,,0.005532500013941899,001,9,6,gvhjkgvhjk,001,False,
,,,,,0,,0.01162460001069121,001,9,7,gvhjkgvhjk,001,False,
,,,,,0,,0.005656099994666874,001,9,8,gvhjkgvhjk,001,False,
,,,,,0,,0.011630300024989992,001,9,9,gvhjkgvhjk,001,False,
,,,,,0,,0.005626800004392862,001,9,10,gvhjkgvhjk,001,False,
,,,,,0,,0.011508399999001995,001,9,11,gvhjkgvhjk,001,False,
,,,,,0,,0.008189499989384785,001,10,0,gvhjkgvhjk,001,False,
,,,,,0,,0.01046889999997802,001,10,1,gvhjkgvhjk,001,False,
,,,,,0,,0.010740600002463907,001,10,2,gvhjkgvhjk,001,False,
,,,,,0,,0.010737600008724257,001,10,3,gvhjkgvhjk,001,False,
,,,,,0,,0.006918800005223602,001,10,4,gvhjkgvhjk,001,False,
,,,,,0,,0.010043199989013374,001,10,5,gvhjkgvhjk,001,False,
,,,,,0,,0.009842100000241771,001,10,6,gvhjkgvhjk,001,False,
,,,,,0,,0.011239899991778657,001,10,7,gvhjkgvhjk,001,False,
,,,,,0,,0.013248200004454702,001,10,8,gvhjkgvhjk,001,False,
,,,,,0,,0.010221300006378442,001,10,9,gvhjkgvhjk,001,False,
,,,,,0,,0.010721500002546236,001,10,10,gvhjkgvhjk,001,False,
,,,,,0,,0.011225700000068173,001,10,11,gvhjkgvhjk,001,False,
,,,,,0,,0.005342899996321648,001,11,0,gvhjkgvhjk,001,False,
,,,,,0,,0.005877900024643168,001,11,1,gvhjkgvhjk,001,False,
,,,,,0,,0.01176989998202771,001,11,2,gvhjkgvhjk,001,False,
,,,,,0,,0.006175100017571822,001,11,3,gvhjkgvhjk,001,False,
,,,,,0,,0.01088829999207519,001,11,4,gvhjkgvhjk,001,False,
,,,,,0,,0.006070900009945035,001,11,5,gvhjkgvhjk,001,False,
,,,,,0,,0.012104299996281043,001,11,6,gvhjkgvhjk,001,False,
,,,,,0,,0.006289099983405322,001,11,7,gvhjkgvhjk,001,False,
,,,,,0,,0.011489099997561425,001,11,8,gvhjkgvhjk,001,False,
,,,,,0,,0.006147300009615719,001,11,9,gvhjkgvhjk,001,False,
,,,,,0,,0.01115659999777563,001,11,10,gvhjkgvhjk,001,False,
,,,,,0,,0.0057564000017009676,001,11,11,gvhjkgvhjk,001,False,
