thisRow.t,notes,trial_type,trial_number,target_index,selected_id,correct,rt,session,generation,trial,participant,session,fullscreen,
,,training,1,0,0,True,3.3339460999995936,001,,,123,001,False,
,,training,2,9,0,False,0.00016339999274350703,001,,,123,001,False,
,,training,3,6,0,False,0.00015659999917261302,001,,,123,001,False,
,,training,4,5,4,False,1.673798199975863,001,,,123,001,False,
,,training,5,8,4,False,0.00041290000081062317,001,,,123,001,False,
,,training,6,4,4,True,0.00041500001680105925,001,,,123,001,False,
,,training,7,2,8,False,0.8007244000036735,001,,,123,001,False,
,,training,8,8,8,True,0.0006331999902613461,001,,,123,001,False,
,,training,9,6,8,False,0.0006345000001601875,001,,,123,001,False,
,,training,10,0,1,False,0.7871974000008777,001,,,123,001,False,
,,,,,0,,3.385316600004444,001,0,0,123,001,False,
,,,,,0,,0.00022109999554231763,001,0,1,123,001,False,
,,,,,0,,0.00017340001068077981,001,0,2,123,001,False,
,,,,,9,,1.7423905000032391,001,0,3,123,001,False,
,,,,,9,,0.000811800011433661,001,0,4,123,001,False,
,,,,,9,,0.0007250999915413558,001,0,5,123,001,False,
,,,,,9,,0.3345370000170078,001,0,6,123,001,False,
,,,,,9,,0.000677700008964166,001,0,7,123,001,False,
,,,,,9,,0.0006859999848529696,001,0,8,123,001,False,
,,,,,9,,0.231966299994383,001,0,9,123,001,False,
,,,,,9,,0.000826600007712841,001,1,0,123,001,False,
,,,,,9,,0.0007097999914549291,001,1,1,123,001,False,
,,,,,8,,0.2082652000244707,001,1,2,123,001,False,
,,,,,8,,0.0006661999796051532,001,1,3,123,001,False,
,,,,,8,,0.000666300009470433,001,1,4,123,001,False,
,,,,,8,,0.32561609998811036,001,1,5,123,001,False,
,,,,,8,,0.0006578000029549003,001,1,6,123,001,False,
,,,,,8,,0.0007014999864622951,001,1,7,123,001,False,
,,,,,7,,0.24659099997370504,001,1,8,123,001,False,
,,,,,7,,0.0005668000085279346,001,1,9,123,001,False,
,,,,,7,,0.0005770999996457249,001,2,0,123,001,False,
,,,,,2,,0.2964734999986831,001,2,1,123,001,False,
,,,,,2,,0.0003391999925952405,001,2,2,123,001,False,
,,,,,2,,0.0002851999888662249,001,2,3,123,001,False,
,,,,,2,,0.04813850001664832,001,2,4,123,001,False,
,,,,,2,,0.0002815999905578792,001,2,5,123,001,False,
,,,,,2,,0.00027940000290982425,001,2,6,123,001,False,
,,,,,2,,0.026264899992384017,001,2,7,123,001,False,
,,,,,2,,0.0002966000174637884,001,2,8,123,001,False,
,,,,,2,,0.0003457000129856169,001,2,9,123,001,False,
,,,,,2,,0.02393080000183545,001,3,0,123,001,False,
,,,,,2,,0.00028330000350251794,001,3,1,123,001,False,
,,,,,2,,0.0003464000183157623,001,3,2,123,001,False,
,,,,,2,,0.025451299996348098,001,3,3,123,001,False,
,,,,,2,,0.00030040001729503274,001,3,4,123,001,False,
,,,,,2,,0.000311399984639138,001,3,5,123,001,False,
,,,,,2,,0.011110999999800697,001,3,6,123,001,False,
,,,,,2,,0.00031519998447038233,001,3,7,123,001,False,
,,,,,2,,0.0003400999994482845,001,3,8,123,001,False,
,,,,,2,,0.009190999990096316,001,3,9,123,001,False,
,,,,,2,,0.0003113000129815191,001,4,0,123,001,False,
,,,,,2,,0.04516189999412745,001,4,1,123,001,False,
,,,,,2,,0.00032599997939541936,001,4,2,123,001,False,
,,,,,2,,0.04884219999075867,001,4,3,123,001,False,
,,,,,2,,0.00029120000544935465,001,4,4,123,001,False,
,,,,,1,,0.14201759998104535,001,4,5,123,001,False,
,,,,,1,,0.0002206000208389014,001,4,6,123,001,False,
,,,,,1,,0.00035360001493245363,001,4,7,123,001,False,
,,,,,6,,0.057912200019927695,001,4,8,123,001,False,
,,,,,6,,0.0005457999941427261,001,4,9,123,001,False,
,,,,,6,,0.0008570999780204147,001,5,0,123,001,False,
,,,,,6,,0.04659029998583719,001,5,1,123,001,False,
,,,,,5,,0.0006274000043049455,001,5,2,123,001,False,
,,,,,5,,0.0005657000001519918,001,5,3,123,001,False,
,,,,,5,,0.030527599999913946,001,5,4,123,001,False,
,,,,,5,,0.000446999998530373,001,5,5,123,001,False,
,,,,,5,,0.0004531000158749521,001,5,6,123,001,False,
,,,,,5,,0.03643680000095628,001,5,7,123,001,False,
,,,,,5,,0.0004531000158749521,001,5,8,123,001,False,
,,,,,5,,0.0009184000082314014,001,5,9,123,001,False,
,,,,,0,,0.02378699998371303,001,6,0,123,001,False,
,,,,,0,,0.00028080001357011497,001,6,1,123,001,False,
,,,,,0,,0.00021510000806301832,001,6,2,123,001,False,
,,,,,0,,0.00015730000450275838,001,6,3,123,001,False,
,,,,,0,,0.011524699977599084,001,6,4,123,001,False,
,,,,,0,,0.00021729999571107328,001,6,5,123,001,False,
,,,,,0,,0.00014050002209842205,001,6,6,123,001,False,
,,,,,0,,0.062231100018834695,001,6,7,123,001,False,
,,,,,0,,0.00016799999866634607,001,6,8,123,001,False,
,,,,,0,,0.00018339999951422215,001,6,9,123,001,False,
,,,,,4,,0.520778700010851,001,0,0,123,001,False,
