thisRow.t,notes,session,generation,trial,selected_id,rt,mode,participant,session,fullscreen,
,,001,6,11,4,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,0,7,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,1,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,2,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,3,8,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,4,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,5,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,6,4,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,7,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,8,9,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,9,9,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,10,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,7,11,4,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,0,4,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,1,7,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,2,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,3,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,4,9,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,5,1,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,6,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,7,7,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,8,7,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,9,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,10,11,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,8,11,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,0,11,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,1,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,2,9,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,3,9,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,4,5,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,5,8,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,6,8,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,7,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,8,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,9,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,10,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,9,11,11,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,0,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,1,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,2,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,3,1,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,4,9,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,5,1,0.5,ideal_observer,jhgkjhgkjhg,001,False,
