106,120,30,112,110,172,52,15,189,129,82,91,99,104,14,148
66,101,38,123,77,73,81,120,108,59,48,80,108,90,98,109
92,138,101,123,58,70,92,97,35,61,115,67,73,86,76,100
103,81,85,148,112,204,65,82,49,112,107,183,53,129,169,171
87,12,178,67,116,91,164,89,129,130,133,78,104,111,180,32
104,81,70,64,110,171,91,65,165,94,127,95,102,67,81,174
96,100,73,140,88,126,79,151,145,112,162,62,56,74,99,61
101,81,110,135,90,131,78,87,61,49,70,111,98,105,128,85
123,71,120,75,124,180,151,134,144,28,41,85,160,84,94,41
94,78,61,104,93,143,112,69,120,55,110,94,131,107,79,82
107,79,71,54,118,149,119,50,101,160,114,98,71,87,121,66
110,41,99,120,80,53,131,94,140,113,48,126,109,50,114,164
68,56,141,142,129,74,57,108,78,118,104,187,68,78,97,47
94,100,45,76,155,122,104,124,86,107,93,97,87,67,111,131
133,62,128,97,76,65,66,105,119,93,46,26,52,43,128,164
145,79,102,204,164,65,111,78,111,131,129,107,84,148,76,136
