122,148,145,94,83,131,157,120,114,100,100,123,108,145,115,101
162,117,59,108,105,128,155,112,152,96,109,107,84,165,96,60
149,85,151,112,102,98,71,92,91,94,84,129,90,104,145,126
101,121,91,84,77,101,97,146,89,106,127,82,137,144,124,132
93,79,94,137,122,82,95,112,75,156,88,86,134,90,77,85
113,126,131,92,76,158,90,114,132,71,74,110,131,123,94,73
160,97,122,125,125,92,100,130,100,168,87,101,133,117,89,161
123,112,92,98,85,140,137,113,115,114,177,137,93,128,106,147
123,45,95,143,60,86,124,119,139,97,78,125,90,131,113,99
137,144,121,127,117,86,64,121,84,79,68,121,130,90,96,54
105,126,97,105,102,104,111,134,84,100,91,106,71,118,82,92
79,144,140,93,125,126,100,100,118,154,92,140,126,57,86,83
129,35,135,109,106,117,93,115,93,93,76,96,67,83,106,99
137,134,75,113,101,134,119,95,84,128,164,112,120,130,94,86
128,95,101,120,92,91,97,144,79,121,112,128,98,145,129,127
138,76,142,71,125,98,103,112,105,176,116,91,119,103,115,146
