185,77,102,31,67,63,144,162,156,131,94,165,92,112,106,101
135,157,117,159,81,63,116,27,24,116,175,100,90,123,64,133
83,162,38,113,153,80,160,161,104,44,161,154,118,59,138,71
84,195,32,156,89,149,157,153,155,162,25,27,138,112,51,174
85,29,106,94,138,183,111,74,165,115,151,92,43,139,161,118
127,134,189,144,62,187,162,77,168,144,182,118,59,87,120,67
103,105,129,125,192,89,105,164,166,175,161,151,47,68,157,169
192,148,71,62,122,164,196,150,156,159,157,56,59,191,131,98
155,77,142,158,189,137,37,32,114,76,184,43,92,152,37,100
104,73,155,112,131,39,66,166,163,132,109,141,123,95,121,122
72,66,156,127,125,184,115,62,121,119,105,147,159,133,111,123
110,124,153,111,107,29,161,94,193,134,90,138,140,140,58,98
69,115,148,57,104,177,61,124,70,145,108,153,168,127,84,156
86,142,143,63,101,114,147,42,99,155,113,34,172,169,179,122
174,103,120,164,119,154,144,108,46,48,57,156,154,61,169,126
154,89,126,124,114,144,187,150,71,179,86,136,74,121,122,108
