174,83,80,78,141,83,205,158,152,154,105,149,73,171,166,92
144,160,164,147,79,71,91,26,19,162,158,95,90,161,57,127
120,156,81,116,160,94,159,165,105,46,167,140,100,67,146,85
125,196,48,129,100,177,162,155,145,149,28,38,115,128,70,170
159,41,122,83,132,186,77,91,170,113,147,83,44,148,160,142
119,83,160,160,92,160,158,57,159,120,179,120,78,115,118,82
150,152,134,118,175,109,129,167,161,173,153,140,55,76,149,183
188,147,86,54,123,169,198,139,155,148,156,82,74,191,130,104
136,79,139,151,183,134,53,32,130,91,186,32,76,151,58,130
156,102,186,133,115,55,65,168,158,132,139,122,94,89,122,124
49,68,145,116,136,165,107,65,84,122,116,122,162,156,110,94
167,123,155,110,133,61,171,95,184,123,98,129,168,131,47,106
99,135,122,76,114,178,113,139,81,128,97,135,158,117,77,170
89,127,140,132,116,78,142,101,123,151,91,45,174,146,188,131
185,143,128,162,133,123,145,124,89,88,53,160,170,68,175,137
157,95,145,118,100,150,179,157,94,180,60,112,82,138,148,121
